node,country,role,degree,in_degree,out_degree,betweenness
TSMC,Taiwan,customer,3.83,2.88,0.95,0.010582010582010581
Lam Research,United States,supplier,0.31,0.0,0.31,0.0
Wistron,Taiwan,supplier,0.15,0.0,0.15,0.0
Pegatron,Taiwan,supplier,0.16,0.0,0.16,0.0
Infineon,Germany,supplier,0.18,0.0,0.18,0.0
ON Semiconductor,United States,supplier,0.19,0.0,0.19,0.0
Marvell,United States,supplier,0.17,0.0,0.17,0.0
Broadcom,United States,supplier,0.2,0.0,0.2,0.0
IBM,United States,supplier,0.18,0.0,0.18,0.0
Largan Precision,Taiwan,supplier,0.21,0.0,0.21,0.0
GlobalWafers,Taiwan,supplier,0.23,0.0,0.23,0.0
Shin-Etsu,Japan,supplier,0.26,0.0,0.26,0.0
Tokyo Electron,Japan,supplier,0.27,0.0,0.27,0.0
KLA Corporation,United States,supplier,0.29,0.0,0.29,0.0
ASML,Netherlands,supplier,0.98,0.0,0.98,0.0
NVDA,Unknown,customer,6.86,6.86,0.0,0.0
Applied Materials,United States,supplier,0.33,0.0,0.33,0.0
Sumitomo Electric,Japan,supplier,0.3,0.0,0.3,0.0
Unimicron,Taiwan,supplier,0.32,0.0,0.32,0.0
Ibiden,Japan,supplier,0.35,0.0,0.35,0.0
Delta Electronics,Taiwan,supplier,0.24,0.0,0.24,0.0
Jabil,United States,supplier,0.28,0.0,0.28,0.0
Foxconn,Taiwan,supplier,0.38,0.0,0.38,0.0
Amkor Technology,United States,supplier,0.42,0.0,0.42,0.0
ASE Technology,Taiwan,supplier,0.47,0.0,0.47,0.0
Micron,United States,supplier,0.54,0.0,0.54,0.0
SK Hynix,South Korea,supplier,0.58,0.0,0.58,0.0
Samsung,South Korea,supplier,0.66,0.0,0.66,0.0
Luxshare,China,supplier,0.14,0.0,0.14,0.0
